Date,Open,High,Low,Close,Volume,Adjusted,Symbol,EPS,Dividend
2009-06-19,17.05,17.05,16.685,16.135,32146000,15.488592,MA,0.82,0.06
2009-06-22,16.788,17.002,16.332,15.678,20448000,15.049905,MA,0.82,0.06
2009-06-23,16.355,16.756,16.2,16.013,21099000,15.371481,MA,0.82,0.06
2009-06-24,16.803,16.938,16.642,16.106001,17093000,15.460754,MA,0.82,0.06
2009-06-25,16.823,17.317,16.582,16.427999,36044000,15.769855,MA,0.82,0.06
2009-06-26,17.089,17.596,17.014,16.891001,20758000,16.214308,MA,0.82,0.06
2009-06-29,17.656,17.656,17.242,16.815001,14673000,16.14135,MA,0.82,0.06
2009-06-30,17.605,17.605,17.243,16.731001,11261000,16.060717,MA,0.82,0.06
2009-07-01,17.447,17.631,17.23,16.584,14436000,15.919603,MA,0.82,0.06
2009-07-02,16.931,17.516,16.931,16.628,18844000,15.961845,MA,0.82,0.06
2009-07-06,17.189,17.436,17.185,16.681,14977000,16.01272,MA,0.82,0.06
2009-07-07,17.387,17.418,16.751,16.1,23854000,15.454997,MA,0.82,0.06
2009-07-08,16.747,17.108,16.646,16.07,24466000,15.440581,MA,0.82,0.06
2009-07-09,16.843,16.958,16.588,16.280001,14411000,15.642355,MA,0.82,0.06
2009-07-10,16.714,16.902,16.503,16.056,13306000,15.427128,MA,0.82,0.06
2009-07-13,16.711,17.227,16.703,16.552,15275000,15.903704,MA,0.82,0.06
2009-07-14,17.205,17.3,17.014,16.593,7923000,15.943097,MA,0.82,0.06
2009-07-15,17.41,17.973,17.35,17.237,21320000,16.561872,MA,0.82,0.06
2009-07-16,17.848,18.813,17.847,17.827,28441000,17.128761,MA,0.82,0.06
2009-07-17,18.634,18.864,18.556,17.983999,17015000,17.279612,MA,0.82,0.06
2009-07-20,18.788,19.298,18.744,18.142,30597000,17.431429,MA,0.82,0.06
2009-07-21,18.948,19.046,18.673,18.094,14494000,17.385311,MA,0.82,0.06
2009-07-22,18.631,18.999,18.526,18.148001,12907000,17.437197,MA,0.82,0.06
2009-07-23,19.003,19.418,18.823,18.587,15084000,17.858997,MA,0.82,0.06
2009-07-24,19.164,19.681,19.137,18.547001,20194000,17.820566,MA,0.82,0.06
2009-07-27,19.56,20.087,19.499,18.913,25343000,18.172235,MA,0.82,0.06
2009-07-28,19.664,19.664,19.313,18.694,15162000,17.961809,MA,0.82,0.06
2009-07-29,19.309,19.636,19.19,18.855,18070000,18.116501,MA,0.82,0.06
2009-07-30,21.438,21.78,20.178,19.410999,68013000,18.650724,MA,0.82,0.06
2009-07-31,20.223,20.595,20.031,19.403,30839000,18.643044,MA,0.91,0.06
2009-08-03,20.421,20.905,20.348,20.066,17599000,19.280066,MA,0.97,0.06
2009-08-04,20.661,21.139,20.556,20.309999,15904000,19.514513,MA,0.97,0.06
2009-08-05,21.138,21.232,20.815,20.298,12489000,19.502985,MA,0.97,0.06
2009-08-06,21.101,21.274,20.878,20.148001,16211000,19.35886,MA,0.97,0.06
2009-08-07,21.214,21.44,21.135,20.434,11739000,19.633659,MA,0.97,0.06
2009-08-10,21.314,21.325,20.92,20.233999,7848000,19.44149,MA,0.97,0.06
2009-08-11,21.022,21.278,20.966,20.268999,13147000,19.475119,MA,0.97,0.06
2009-08-12,20.94,21.386,20.847,20.431999,11993000,19.631731,MA,0.97,0.06
2009-08-13,21.291,21.538,21.177,20.396999,14863000,19.59811,MA,0.97,0.06
2009-08-14,21.219,21.464,20.978,20.261,11572000,19.467436,MA,0.97,0.06
2009-08-17,20.399,20.806,20.393,19.594,12904000,18.826555,MA,0.97,0.06
2009-08-18,20.487,20.729,20.487,19.816999,6730000,19.040823,MA,0.97,0.06
2009-08-19,20.496,20.63,20.331,19.73,9424000,18.957233,MA,0.97,0.06
2009-08-20,20.442,21.147,20.427,20.302,10720000,19.506828,MA,0.97,0.06
2009-08-21,21.339,21.655,21.048,20.725,15445000,19.913258,MA,0.97,0.06
2009-08-24,21.653,21.833,21.144,20.423,11758000,19.623087,MA,0.97,0.06
2009-08-25,21.532,21.971,21.469,20.893,14856000,20.07468,MA,0.97,0.06
2009-08-26,21.664,21.664,21.252,20.669001,12916000,19.859453,MA,0.97,0.06
2009-08-27,21.492,21.532,21.128,20.66,8973000,19.850798,MA,0.97,0.06
2009-08-28,21.627,21.664,21.16,20.357,10355000,19.559671,MA,0.97,0.06
2009-08-31,21.032,21.15,20.774,20.263,14093000,19.469355,MA,0.97,0.06
2009-09-01,20.991,21.563,20.885,20.066999,16628000,19.281029,MA,0.97,0.06
2009-09-02,20.815,21.079,20.716,20.045,8922000,19.259893,MA,0.97,0.06
2009-09-03,21.07,21.316,20.934,20.34,15115000,19.543343,MA,0.97,0.06
2009-09-04,21.174,21.533,21.133,20.605,8491000,19.79796,MA,0.97,0.06
2009-09-08,21.658,21.784,21.44,20.745001,9941000,19.932474,MA,0.97,0.06
2009-09-09,21.79,22.032,21.57,21.031,18796000,20.207275,MA,0.97,0.06
2009-09-10,21.855,22.076,21.779,21.16,9053000,20.331224,MA,0.97,0.06
2009-09-11,22.156,22.156,21.691,20.881001,11868000,20.063147,MA,0.97,0.06
2009-09-14,21.591,21.698,21.473,20.799,13928000,19.984362,MA,0.97,0.06
2009-09-15,21.748,22.443,21.687,21.403,22633000,20.564697,MA,0.97,0.06
2009-09-16,22.372,23.038,22.283,21.976,19989000,21.115259,MA,0.97,0.06
2009-09-17,22.88,23.055,22.72,22.02,13215000,21.157537,MA,0.97,0.06
2009-09-18,23.084,23.268,22.642,22.357,53832000,21.481344,MA,0.97,0.06
2009-09-21,23.2,23.504,23.076,22.261999,13176000,21.390059,MA,0.97,0.06
2009-09-22,23.394,23.417,23.094,22.458,11804000,21.578382,MA,0.97,0.06
2009-09-23,23.503,23.503,22.808,21.938999,14097000,21.079708,MA,0.97,0.06
2009-09-24,22.855,22.87,22.291,21.493999,15567000,20.652138,MA,0.97,0.06
2009-09-25,22.309,22.309,21.238,20.469999,41696000,19.668245,MA,0.97,0.06
2009-09-28,21.374,21.812,21.256,20.813999,19454000,19.998774,MA,0.97,0.06
2009-09-29,21.799,22.155,21.424,20.674,22336000,19.864258,MA,0.97,0.06
2009-09-30,21.708,21.709,20.93,20.215,24555000,19.423239,MA,0.97,0.06
2009-10-01,21.031,21.224,20.728,19.941,18071000,19.159966,MA,0.97,0.06
